"filename", "language", "JavaScript", "JSON", "Properties", "YAML", "XML", "C#", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "Docker", "comment", "blank", "total"
"/home/alrightytighty/DataBeats/backend/DTOs/Musician/MusicianDto.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 9, 27
"/home/alrightytighty/DataBeats/backend/DTOs/Musician/UpdateMusicianDto.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/home/alrightytighty/DataBeats/backend/DTOs/Playlist/CreatePlaylistDto.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/alrightytighty/DataBeats/backend/DTOs/Playlist/Playlistdto.cs", "C#", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"/home/alrightytighty/DataBeats/backend/DTOs/Playlist/UpdatePlaylistDto.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/home/alrightytighty/DataBeats/backend/DTOs/PlaylistPageDto/PlaylistPageDto.cs", "C#", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 10, 55
"/home/alrightytighty/DataBeats/backend/DTOs/ProfilePictureFile/ProfilePictureFileDto.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/home/alrightytighty/DataBeats/backend/DTOs/Rating/CreateRatingDto.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/alrightytighty/DataBeats/backend/DTOs/Rating/RatingDto.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/home/alrightytighty/DataBeats/backend/DTOs/Report/CreateReportDto.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/home/alrightytighty/DataBeats/backend/DTOs/Song/CreateSongDto.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/alrightytighty/DataBeats/backend/DTOs/Song/SongDto.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"/home/alrightytighty/DataBeats/backend/DTOs/SongFileDto/SongFileDto.cs", "C#", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"/home/alrightytighty/DataBeats/backend/DTOs/User/CreateUserRequestDto.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/alrightytighty/DataBeats/backend/DTOs/User/UpdateUserDto.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/home/alrightytighty/DataBeats/backend/DTOs/User/UserDto.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"/home/alrightytighty/DataBeats/backend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 6, 23
"/home/alrightytighty/DataBeats/backend/Mappers/AlbumMappers.cs", "C#", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"/home/alrightytighty/DataBeats/backend/Mappers/EventMapper.cs", "C#", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"/home/alrightytighty/DataBeats/backend/Mappers/FriendMappers.cs", "C#", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/home/alrightytighty/DataBeats/backend/Mappers/MusicianMapper.cs", "C#", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"/home/alrightytighty/DataBeats/backend/Mappers/PlaylistMapper.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 2, 45
"/home/alrightytighty/DataBeats/backend/Mappers/PlaylistPageMapper.cs", "C#", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 2, 13, 86
"/home/alrightytighty/DataBeats/backend/Mappers/ProfilePictureMapper.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/home/alrightytighty/DataBeats/backend/Mappers/RatingMappers.cs", "C#", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"/home/alrightytighty/DataBeats/backend/Mappers/SessionMapper.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/home/alrightytighty/DataBeats/backend/Mappers/SongFileMapper.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"/home/alrightytighty/DataBeats/backend/Mappers/SongMappers.cs", "C#", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 46
"/home/alrightytighty/DataBeats/backend/Mappers/UserMappers.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"/home/alrightytighty/DataBeats/backend/Middleware/AuthenticationHandler.cs", "C#", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 9, 52
"/home/alrightytighty/DataBeats/backend/Models/Admin.cs", "C#", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 34, 72
